date,ICLN,PBW,QCLN
2010-05-19,-0.001954,-0.016667,-0.012535
2010-05-20,-0.025627,-0.045198,-0.035966
2010-05-21,0.014242,0.022485,0.022677
2010-05-24,-0.023778,-0.024306,-0.020744
2010-05-25,-0.009472,-0.015421,-0.008766
2010-05-26,-0.012295,0.015663,0.004414
2010-05-27,0.057261,0.059312,0.055033
2010-05-28,-0.005102,-0.019037,-0.017191
2010-06-01,-0.034122,-0.026256,-0.026378
2010-06-02,0.018311,0.026964,0.016715
2010-06-03,0.012032,0.015982,0.022159
2010-06-04,-0.038375,-0.050562,-0.046853
2010-06-07,-0.021911,-0.031953,-0.040352
2010-06-08,-0.000576,-0.006112,-0.009939
2010-06-09,-0.005748,-0.00492,-0.001544
2010-06-10,0.059364,0.045736,0.044084
2010-06-11,0.020681,0.015366,0.017778
2010-06-14,0.005882,0.009313,0.009243
2010-06-15,0.047173,0.04729,0.053588
2010-06-16,-0.006577,-0.003304,0.000678
2010-06-17,0.003123,0.0,0.004788
2010-06-18,0.007223,0.00884,0.000681
2010-06-21,0.003579,-0.016429,-0.004082
2010-06-22,-0.026119,-0.020045,-0.019126
2010-06-23,0.012388,0.004545,-0.003482
2010-06-24,-0.029267,-0.028281,-0.027463
2010-06-25,0.014295,0.016298,0.011712
2010-06-28,-0.014862,-0.002291,0.006392
2010-06-29,-0.04734,-0.046498,-0.056457
2010-06-30,-0.003413,-0.005418,0.002244
2010-07-01,0.019863,0.006053,-0.000843
2010-07-02,0.017784,0.00361,0.003996
2010-07-06,0.01288,0.005995,0.001324
2010-07-07,0.047557,0.034565,0.052006
2010-07-08,0.005448,0.017281,0.005735
2010-07-09,0.018086,0.021518,0.025897
2010-07-12,-0.019441,-0.022173,-0.00616
2010-07-13,0.009913,0.020408,0.017355
2010-07-14,0.003681,0.005556,-0.002843
2010-07-15,0.009169,-0.00663,-0.002037
2010-07-16,-0.023168,-0.030033,-0.030612
2010-07-19,0.009456,0.010321,0.018947
2010-07-20,0.020516,0.015891,0.020661
2010-07-21,-0.01589,-0.011173,-0.012092
2010-07-22,0.033028,0.035028,0.031371
2010-07-23,0.01267,0.022926,0.020391
2010-07-26,0.007133,0.025614,0.020898
2010-07-27,-0.013062,-0.022893,-0.017165
2010-07-28,-0.008294,-0.01278,-0.016177
2010-07-29,-0.007117,-0.003236,-0.012485
2010-07-30,-0.029271,-0.008658,-0.010453
2010-08-02,0.027077,0.012009,0.01528
2010-08-03,0.0,-0.003236,-0.002392
2010-08-04,0.007184,0.00974,0.004384
2010-08-05,0.003718,0.004287,-0.007937
2010-08-06,0.00045,0.0,0.004467
2010-08-09,0.011843,0.008538,0.008827
2010-08-10,-0.016388,-0.013757,-0.014474
2010-08-11,-0.043452,-0.054721,-0.058077
2010-08-12,-0.002614,-0.00454,-0.012048
2010-08-13,-0.002246,-0.013683,-0.005667
2010-08-16,0.001751,0.013873,0.005988
2010-08-17,0.018102,0.017104,0.018115
2010-08-18,-0.011036,0.006726,0.00517
2010-08-19,-0.017979,-0.033408,-0.032936
2010-08-20,-0.015783,-0.008065,-0.002174
2010-08-23,0.000641,-0.006969,-0.006245
2010-08-24,-0.021154,-0.022222,-0.021485
2010-08-25,0.000655,0.010766,-0.013443
2010-08-26,0.004188,-0.004734,0.021953
2010-08-27,0.02646,0.030916,0.026674
2010-08-30,-0.019041,-0.016148,-0.015159
2010-08-31,0.005171,0.003517,-0.013956
2010-09-01,0.032196,0.035047,0.040158
2010-09-02,0.013119,0.015801,0.023564
2010-09-03,0.009212,0.02,0.014662
2010-09-07,-0.015857,-0.014161,-0.019945
2010-09-08,0.00496,0.00442,-0.002105
2010-09-09,0.002468,-0.0022,-7e-06
2010-09-10,0.001397,-0.002205,-0.009838
2010-09-13,0.013348,0.01326,0.018466
2010-09-14,0.01456,0.009815,0.015342
2010-09-15,-0.010161,-0.008639,-0.004121
2010-09-16,0.006643,0.003268,0.002793
2010-09-17,-0.016197,-0.003257,-0.002785
2010-09-20,0.007323,0.020697,0.015172
2010-09-21,0.000599,-0.003202,-0.003397
2010-09-22,0.002565,-0.005353,-0.015678
2010-09-23,-0.003162,-0.002153,-0.000692
2010-09-24,0.01937,0.035599,0.032571
2010-09-27,-0.004157,-0.00625,-0.002013
2010-09-28,0.013709,0.010482,0.012777
2010-09-29,0.002947,0.021784,0.014874
2010-09-30,0.012974,0.003046,-0.00157
2010-10-01,-0.005541,-0.004049,-0.009836
2010-10-04,-0.015109,-0.019309,-0.01417
2010-10-05,0.026844,0.019689,0.023779
2010-10-06,-0.001215,0.0,-0.007869
2010-10-07,0.002017,0.00813,0.012624
2010-10-08,0.000926,0.001008,0.004497
2010-10-11,0.016569,0.01712,0.013392
2010-10-12,-0.007824,0.00099,0.000898
2010-10-13,0.012051,0.02275,0.012851
2010-10-14,0.006672,0.007737,0.003188
2010-10-15,-0.010403,-0.012476,-0.004476
2010-10-18,0.005991,-0.000972,0.0
2010-10-19,-0.042472,-0.034047,-0.038822
2010-10-20,0.017191,0.009063,0.011313
2010-10-21,-0.01367,-0.007984,-0.010991
2010-10-22,0.005848,0.00503,0.018445
2010-10-25,0.011046,0.014014,0.016171
2010-10-26,-0.009103,0.004936,-0.003819
2010-10-27,-0.003581,0.000982,0.005112
2010-10-28,0.002912,-0.008832,-0.002543
2010-10-29,-0.015099,-0.009901,-0.008158
2010-11-01,-0.010436,-0.011,-0.017472
2010-11-02,0.022582,0.022245,0.015696
