date,SHY
2009-11-11,0.001072
2009-11-12,-0.000119
2009-11-13,0.000238
2009-11-16,0.000595
2009-11-17,0.000238
2009-11-18,0.0
2009-11-19,0.000357
2009-11-20,0.000238
2009-11-23,-0.000119
2009-11-24,0.000832
2009-11-25,0.000475
2009-11-27,0.000712
2009-11-30,0.000119
2009-12-01,0.000239
2009-12-02,-0.000836
2009-12-03,-0.000597
2009-12-04,-0.00251
2009-12-07,0.002157
2009-12-08,0.000957
2009-12-09,-0.000717
2009-12-10,-0.000359
2009-12-11,-0.001076
2009-12-14,-0.001078
2009-12-15,-0.00024
2009-12-16,0.000719
2009-12-17,0.001917
2009-12-18,-0.000717
2009-12-21,-0.001556
2009-12-22,-0.001199
2009-12-23,0.0
2009-12-24,-0.0012
2009-12-28,-0.001442
2009-12-29,0.000662
2009-12-30,-0.000361
2009-12-31,-0.001204
2010-01-04,0.001326
2010-01-05,0.001204
2010-01-06,0.00012
2010-01-07,-0.00024
2010-01-08,0.00096
2010-01-11,0.000483
2010-01-12,0.000841
2010-01-13,-0.00084
2010-01-14,0.000961
2010-01-15,0.00084
2010-01-19,0.00024
2010-01-20,0.0
2010-01-21,0.000839
2010-01-22,0.000838
2010-01-25,-0.000837
2010-01-26,0.00012
2010-01-27,-0.00038
2010-01-28,0.000499
2010-01-29,0.000958
2010-02-01,-0.000429
2010-02-02,0.00012
2010-02-03,-0.000719
2010-02-04,0.001438
2010-02-05,0.001556
2010-02-08,-0.000717
2010-02-09,-0.000957
2010-02-10,-0.001077
2010-02-11,0.000359
2010-02-12,0.000838
2010-02-16,0.00012
2010-02-17,-0.000838
2010-02-18,-0.000599
2010-02-19,-0.000359
2010-02-22,0.00036
2010-02-23,0.000839
2010-02-24,0.000479
2010-02-25,0.000838
2010-02-26,0.000359
2010-03-01,-0.000183
2010-03-02,0.0
2010-03-03,-0.00012
2010-03-04,-0.000359
2010-03-05,-0.000838
2010-03-08,-0.000479
2010-03-09,0.000719
2010-03-10,-0.00024
2010-03-11,-0.001198
2010-03-12,0.00012
2010-03-15,0.00036
2010-03-16,0.00024
2010-03-17,0.00024
2010-03-18,-0.000599
2010-03-19,-0.000719
2010-03-22,0.00036
2010-03-23,-0.00036
2010-03-24,-0.00156
2010-03-25,0.000361
2010-03-26,0.000601
2010-03-29,0.00048
2010-03-30,-0.00024
2010-03-31,0.00072
2010-04-01,-0.000365
2010-04-05,-0.002762
2010-04-06,0.000723
2010-04-07,0.001565
2010-04-08,-0.00024
2010-04-09,0.00024
2010-04-12,0.000481
2010-04-13,-0.00024
2010-04-14,0.0
2010-04-15,0.000721
2010-04-16,0.001561
2010-04-19,-0.000959
2010-04-20,0.00012
2010-04-21,0.00012
2010-04-22,-0.00072
2010-04-23,-0.00036
2010-04-26,0.0
2010-04-27,0.001921
2010-04-28,-0.00024
2010-04-29,0.00024
2010-04-30,0.001198
2010-05-03,-0.000977
2010-05-04,0.0006
2010-05-05,0.001318
2010-05-06,0.002155
2010-05-07,-0.000358
2010-05-10,-0.001314
2010-05-11,0.000598
2010-05-12,-0.000239
2010-05-13,0.000598
2010-05-14,0.001315
2010-05-17,-0.000358
2010-05-18,0.001075
2010-05-19,-0.000477
2010-05-20,0.001193
2010-05-21,-0.000715
2010-05-24,-0.000119
2010-05-25,-0.000119
2010-05-26,-0.000835
2010-05-27,-0.000716
2010-05-28,0.001912
2010-06-01,6e-06
2010-06-02,-0.000716
2010-06-03,-0.000239
2010-06-04,0.00227
2010-06-07,-0.000358
2010-06-08,-0.000119
2010-06-09,0.000119
2010-06-10,-0.001312
2010-06-11,0.001075
2010-06-14,0.000239
2010-06-15,-0.000477
2010-06-16,0.000239
2010-06-17,0.000596
2010-06-18,0.000119
2010-06-21,0.000119
2010-06-22,0.000477
2010-06-23,0.000715
2010-06-24,0.000238
2010-06-25,0.000357
2010-06-28,0.000595
2010-06-29,0.000476
2010-06-30,-0.000238
2010-07-01,-0.000325
2010-07-02,0.0
2010-07-06,0.0
2010-07-07,-0.000119
2010-07-08,0.000119
2010-07-09,-0.000357
2010-07-12,0.000119
2010-07-13,-0.000714
2010-07-14,0.001072
2010-07-15,0.000238
2010-07-16,0.000952
2010-07-19,-0.000357
2010-07-20,0.000357
2010-07-21,0.000475
2010-07-22,-0.000356
2010-07-23,-0.000475
2010-07-26,-0.000357
2010-07-27,-0.000595
2010-07-28,0.000952
2010-07-29,0.000832
2010-07-30,0.000475
2010-08-02,-0.000231
2010-08-03,0.000713
2010-08-04,-0.000832
2010-08-05,0.001189
2010-08-06,0.000238
2010-08-09,-0.000594
2010-08-10,0.000475
2010-08-11,0.000237
2010-08-12,-0.000237
2010-08-13,-0.000119
2010-08-16,0.00095
2010-08-17,-0.000237
2010-08-18,0.000237
2010-08-19,0.000237
2010-08-20,-0.000356
2010-08-23,0.000119
2010-08-24,0.000712
2010-08-25,-0.000919
2010-08-26,-3e-05
2010-08-27,-0.000712
2010-08-30,0.001187
2010-08-31,0.000356
2010-09-01,-0.000567
2010-09-02,-0.000267
2010-09-03,-0.000475
2010-09-07,0.001069
2010-09-08,-0.000712
2010-09-09,-0.001069
2010-09-10,-0.000119
2010-09-13,0.000833
2010-09-14,0.000713
2010-09-15,0.000237
2010-09-16,0.000237
2010-09-17,0.000237
2010-09-20,0.000119
2010-09-21,0.000712
2010-09-22,-0.000119
2010-09-23,0.000119
2010-09-24,-0.000119
2010-09-27,0.000237
2010-09-28,0.000237
2010-09-29,-0.000237
2010-09-30,0.000119
2010-10-01,0.000183
2010-10-04,0.000119
2010-10-05,0.000474
2010-10-06,0.000118
2010-10-07,0.00083
2010-10-08,0.0
2010-10-11,0.000118
2010-10-12,-0.00071
2010-10-13,0.000119
2010-10-14,-0.000474
2010-10-15,0.000356
2010-10-18,0.000237
2010-10-19,0.000474
2010-10-20,0.000118
2010-10-21,0.000118
2010-10-22,-0.000237
2010-10-25,0.000237
2010-10-26,-0.000947
2010-10-27,-0.000474
2010-10-28,0.001304
2010-10-29,0.000237
2010-11-01,0.000435
2010-11-02,-0.000592
2010-11-03,0.000355
2010-11-04,0.000237
2010-11-05,-0.000829
2010-11-08,-0.000474
2010-11-09,-0.001304
2010-11-10,0.000594
2010-11-11,-0.001542
2010-11-12,0.0
2010-11-15,-0.000594
2010-11-16,0.000476
2010-11-17,0.000594
2010-11-18,0.000119
2010-11-19,-0.000594
2010-11-22,0.000951
2010-11-23,0.000594
2010-11-24,-0.00172
2010-11-26,0.000654
2010-11-29,-0.000119
2010-11-30,0.000713
2010-12-01,-0.001493
2010-12-02,0.0
2010-12-03,0.001309
2010-12-06,0.000594
2010-12-07,-0.001781
2010-12-08,-0.001546
2010-12-09,-0.000119
2010-12-10,-0.000357
2010-12-13,0.000596
