date,ICLN,PBW,QCLN,SPY,XLE
2009-06-24,0.018945,0.028748,0.023975,0.008595,0.00404
2009-06-25,0.027888,0.017964,0.011248,0.021772,0.020966
2009-06-26,-0.0323,0.004902,0.010013,-0.002606,-0.006638
2009-06-29,0.011571,-0.011707,-0.004037,0.009364,0.009397
2009-06-30,0.00308,-0.004936,-0.001724,-0.008091,-0.005999
2009-07-01,0.012369,0.005952,0.011568,0.004133,0.000832
2009-07-02,-0.020016,-0.003945,-0.019714,-0.027293,-0.040133
2009-07-06,-0.042042,-0.047525,-0.043034,-0.000111,-0.010182
2009-07-07,-0.03595,-0.040541,-0.032238,-0.019377,-0.025607
2009-07-08,-0.01484,-0.028169,-0.015736,-0.000681,0.000225
2009-07-09,0.015063,-0.003345,0.01199,0.001932,0.01033
2009-07-10,-0.019148,-0.002237,-0.00624,-0.002382,-0.007113
2009-07-13,0.025378,0.025785,0.028456,0.024352,0.015223
2009-07-14,-0.013327,-0.002186,7.7e-05,0.005638,0.013451
2009-07-15,0.049687,0.051479,0.050927,0.029246,0.035466
2009-07-16,0.015625,0.030208,0.016545,0.009543,0.012187
2009-07-17,-0.011312,-0.021234,-0.003183,-0.000212,0.005813
2009-07-20,0.011533,0.019628,0.012388,0.010634,0.017131
2009-07-21,0.027961,0.009119,0.015046,0.004615,0.008726
2009-07-22,-0.007482,0.002008,0.012598,-0.000209,-0.009053
2009-07-23,0.030155,0.034068,0.024953,0.022093,0.028421
2009-07-24,0.044856,0.031008,0.022672,0.004086,0.010462
2009-07-27,0.001978,0.007519,-0.001697,0.002957,0.003321
2009-07-28,-0.025247,-0.011194,-0.002299,-0.004677,-0.014603
2009-07-29,-0.030625,-0.018868,-0.019706,-0.002431,-0.023118
2009-07-30,0.025022,0.027885,0.018739,0.010425,0.013956
2009-07-31,-0.008703,-0.015903,-0.013378,0.001419,0.009775
2009-08-03,0.023983,0.028517,0.027797,0.016496,0.025682
2009-08-04,0.0,0.001848,-0.002639,0.002589,-0.001733
2009-08-05,-0.008783,-0.009225,-0.006614,-0.00288,-0.010033
2009-08-06,-0.014768,-0.026071,-0.011325,-0.005179,-0.008186
2009-08-07,-0.003041,0.01912,0.006734,0.013135,-0.001179
2009-08-10,-0.001074,0.006567,0.002676,-0.002095,0.004328
2009-08-11,-0.006231,-0.035415,-0.018673,-0.012476,-0.014496
2009-08-12,-0.004721,0.001932,0.010877,0.010729,0.010733
2009-08-13,-0.009565,-0.004822,-0.005952,0.007639,0.012193
2009-08-14,-0.009219,-0.011628,-0.012279,-0.007679,-0.014766
2009-08-17,-0.042091,-0.05,-0.042466,-0.024606,-0.032341
2009-08-18,0.000462,0.01032,0.013591,0.007934,0.009986
2009-08-19,0.000467,0.016343,0.002258,0.00878,0.018563
2009-08-20,-0.001391,0.009045,0.0069,0.010304,0.008518
2009-08-21,0.006756,0.013944,0.007692,0.019606,0.028285
2009-08-24,-0.003034,-0.007859,-0.003407,-9.7e-05,0.012799
2009-08-25,0.005735,-0.012871,-0.002848,0.001943,-0.015277
2009-08-26,-0.017163,0.002006,0.008373,9.7e-05,0.004597
2009-08-27,-0.003265,-0.004004,0.003193,0.002229,-0.003051
2009-08-28,0.005802,0.013065,0.009941,-0.000193,-0.002104
2009-08-31,-0.016005,-0.021825,-0.02393,-0.008899,-0.019356
2009-09-01,-0.034988,-0.035497,-0.030217,-0.022057,-0.017393
2009-09-02,0.001965,0.003155,0.004448,-0.003792,-0.007359
2009-09-03,0.030802,0.026206,0.011503,0.008315,0.007013
2009-09-04,0.008947,0.0143,0.031827,0.014009,0.013928
2009-09-08,0.056953,0.047331,0.033214,0.008622,0.027473
2009-09-09,0.008012,0.007692,0.008667,0.007674,0.002292
